Ligand,Binding Affinity,rmsd/ub, rmsd/lb
106_ASP-LYS_laccase_14421_uff_E=504.28,-9.0,0.0,0.0
106_ASP-LYS_laccase_14421_uff_E=504.28,-8.3,40.631,36.686
106_ASP-LYS_laccase_14421_uff_E=504.28,-7.8,43.08,40.621
106_ASP-LYS_laccase_14421_uff_E=504.28,-7.7,5.607,1.895
106_ASP-LYS_laccase_14421_uff_E=504.28,-7.6,41.834,38.066
106_ASP-LYS_laccase_14421_uff_E=504.28,-7.3,42.77,40.346
106_ASP-LYS_laccase_14421_uff_E=504.28,-7.2,42.912,40.443
106_ASP-LYS_laccase_14421_uff_E=504.28,-7.0,16.749,15.492
106_ASP-LYS_laccase_14421_uff_E=504.28,-7.0,35.587,33.358
106_ASP-LYS_laccase_186907_uff_E=919.33,-8.1,0.0,0.0
106_ASP-LYS_laccase_186907_uff_E=919.33,-8.0,41.195,37.407
106_ASP-LYS_laccase_186907_uff_E=919.33,-7.8,5.718,1.468
106_ASP-LYS_laccase_186907_uff_E=919.33,-7.7,20.932,19.8
106_ASP-LYS_laccase_186907_uff_E=919.33,-7.4,40.807,36.988
106_ASP-LYS_laccase_186907_uff_E=919.33,-7.4,3.696,1.333
106_ASP-LYS_laccase_186907_uff_E=919.33,-7.2,21.904,19.482
106_ASP-LYS_laccase_186907_uff_E=919.33,-7.1,43.123,39.264
106_ASP-LYS_laccase_186907_uff_E=919.33,-7.1,41.697,38.675
106_ASP-LYS_laccase_4867_uff_E=569.17,-4.6,0.0,0.0
106_ASP-LYS_laccase_4867_uff_E=569.17,-4.5,2.482,1.829
106_ASP-LYS_laccase_4867_uff_E=569.17,-4.4,11.015,2.015
106_ASP-LYS_laccase_4867_uff_E=569.17,-4.3,44.385,41.82
106_ASP-LYS_laccase_4867_uff_E=569.17,-4.3,11.954,1.783
106_ASP-LYS_laccase_4867_uff_E=569.17,-4.3,3.452,1.969
106_ASP-LYS_laccase_4867_uff_E=569.17,-4.3,11.346,1.767
106_ASP-LYS_laccase_4867_uff_E=569.17,-4.2,43.872,41.177
106_ASP-LYS_laccase_4867_uff_E=569.17,-4.2,47.086,44.08
106_ASP-LYS_laccase_9570474_uff_E=1625.56,-1.4,0.0,0.0
106_ASP-LYS_laccase_9570474_uff_E=1625.56,-1.4,7.461,7.461
106_ASP-LYS_laccase_9570474_uff_E=1625.56,-1.4,29.8,29.8
106_ASP-LYS_laccase_9570474_uff_E=1625.56,-1.3,24.924,24.924
106_ASP-LYS_laccase_9570474_uff_E=1625.56,-1.3,29.221,29.221
106_ASP-LYS_laccase_9570474_uff_E=1625.56,-1.3,38.546,38.546
106_ASP-LYS_laccase_9570474_uff_E=1625.56,-1.3,27.148,27.148
106_ASP-LYS_laccase_9570474_uff_E=1625.56,-1.3,23.936,23.936
106_ASP-LYS_laccase_9570474_uff_E=1625.56,-1.3,10.936,10.936
