Ligand,Binding Affinity,rmsd/ub, rmsd/lb
126_Arg-Val_laccase_14421_mmff94_E=901.64,-7.9,0.0,0.0
126_Arg-Val_laccase_14421_mmff94_E=901.64,-7.8,5.99,1.436
126_Arg-Val_laccase_14421_mmff94_E=901.64,-7.6,51.766,49.198
126_Arg-Val_laccase_14421_mmff94_E=901.64,-7.5,21.085,19.712
126_Arg-Val_laccase_14421_mmff94_E=901.64,-7.4,41.238,37.303
126_Arg-Val_laccase_14421_mmff94_E=901.64,-7.3,41.963,39.78
126_Arg-Val_laccase_14421_mmff94_E=901.64,-7.3,22.883,19.558
126_Arg-Val_laccase_14421_mmff94_E=901.64,-7.2,21.282,19.247
126_Arg-Val_laccase_14421_mmff94_E=901.64,-7.1,41.908,40.318
126_Arg-Val_laccase_186907_mmff94_E=884.48,-7.9,0.0,0.0
126_Arg-Val_laccase_186907_mmff94_E=884.48,-7.9,3.647,1.395
126_Arg-Val_laccase_186907_mmff94_E=884.48,-7.6,20.828,19.577
126_Arg-Val_laccase_186907_mmff94_E=884.48,-7.5,6.46,1.407
126_Arg-Val_laccase_186907_mmff94_E=884.48,-7.4,5.764,1.438
126_Arg-Val_laccase_186907_mmff94_E=884.48,-7.3,51.368,49.698
126_Arg-Val_laccase_186907_mmff94_E=884.48,-7.2,22.563,19.351
126_Arg-Val_laccase_186907_mmff94_E=884.48,-7.0,22.076,19.155
126_Arg-Val_laccase_186907_mmff94_E=884.48,-6.9,41.171,37.392
126_Arg-Val_laccase_4867_mmff94_E=234.68,-4.5,0.0,0.0
126_Arg-Val_laccase_4867_mmff94_E=234.68,-4.4,2.821,1.794
126_Arg-Val_laccase_4867_mmff94_E=234.68,-4.4,3.675,1.797
126_Arg-Val_laccase_4867_mmff94_E=234.68,-4.2,10.517,1.934
126_Arg-Val_laccase_4867_mmff94_E=234.68,-4.0,4.053,2.025
126_Arg-Val_laccase_4867_mmff94_E=234.68,-4.0,49.835,45.103
126_Arg-Val_laccase_4867_mmff94_E=234.68,-3.9,50.583,45.149
126_Arg-Val_laccase_4867_mmff94_E=234.68,-3.9,4.342,2.598
126_Arg-Val_laccase_4867_mmff94_E=234.68,-3.9,10.42,1.528
126_Arg-Val_laccase_9570474_mmff94_E=1998.67,-1.5,0.0,0.0
126_Arg-Val_laccase_9570474_mmff94_E=1998.67,-1.4,15.397,15.397
126_Arg-Val_laccase_9570474_mmff94_E=1998.67,-1.4,8.483,8.483
126_Arg-Val_laccase_9570474_mmff94_E=1998.67,-1.4,16.306,16.306
126_Arg-Val_laccase_9570474_mmff94_E=1998.67,-1.3,14.92,14.92
126_Arg-Val_laccase_9570474_mmff94_E=1998.67,-1.3,29.547,29.547
126_Arg-Val_laccase_9570474_mmff94_E=1998.67,-1.3,25.958,25.958
126_Arg-Val_laccase_9570474_mmff94_E=1998.67,-1.3,10.201,10.201
126_Arg-Val_laccase_9570474_mmff94_E=1998.67,-1.2,16.476,16.476
126_Arg-Ile_laccase_14421_mmff94_E=901.64,-8.0,0.0,0.0
126_Arg-Ile_laccase_14421_mmff94_E=901.64,-7.8,41.219,37.347
126_Arg-Ile_laccase_14421_mmff94_E=901.64,-7.5,21.147,19.803
126_Arg-Ile_laccase_14421_mmff94_E=901.64,-7.5,41.122,37.193
126_Arg-Ile_laccase_14421_mmff94_E=901.64,-7.4,4.226,1.968
126_Arg-Ile_laccase_14421_mmff94_E=901.64,-7.3,42.013,39.828
126_Arg-Ile_laccase_14421_mmff94_E=901.64,-7.3,22.862,19.541
126_Arg-Ile_laccase_14421_mmff94_E=901.64,-7.3,21.945,19.384
126_Arg-Ile_laccase_14421_mmff94_E=901.64,-7.2,21.252,19.173
126_Arg-Ile_laccase_186907_mmff94_E=884.48,-8.1,0.0,0.0
126_Arg-Ile_laccase_186907_mmff94_E=884.48,-7.9,49.775,47.322
126_Arg-Ile_laccase_186907_mmff94_E=884.48,-7.8,37.987,37.233
126_Arg-Ile_laccase_186907_mmff94_E=884.48,-7.3,49.603,47.728
126_Arg-Ile_laccase_186907_mmff94_E=884.48,-7.1,33.383,30.947
126_Arg-Ile_laccase_186907_mmff94_E=884.48,-6.8,34.249,32.156
126_Arg-Ile_laccase_186907_mmff94_E=884.48,-6.8,7.199,4.204
126_Arg-Ile_laccase_186907_mmff94_E=884.48,-6.6,42.696,41.442
126_Arg-Ile_laccase_186907_mmff94_E=884.48,-6.6,22.675,20.418
126_Arg-Ile_laccase_4867_mmff94_E=234.68,-4.4,0.0,0.0
126_Arg-Ile_laccase_4867_mmff94_E=234.68,-4.2,3.611,2.513
126_Arg-Ile_laccase_4867_mmff94_E=234.68,-4.2,3.842,2.672
126_Arg-Ile_laccase_4867_mmff94_E=234.68,-4.0,10.924,2.284
126_Arg-Ile_laccase_4867_mmff94_E=234.68,-4.0,50.119,45.985
126_Arg-Ile_laccase_4867_mmff94_E=234.68,-4.0,10.473,2.437
126_Arg-Ile_laccase_4867_mmff94_E=234.68,-3.9,46.627,43.747
126_Arg-Ile_laccase_4867_mmff94_E=234.68,-3.9,6.652,2.475
126_Arg-Ile_laccase_4867_mmff94_E=234.68,-3.9,12.866,8.7
126_Arg-Ile_laccase_9570474_mmff94_E=1998.67,-1.6,0.0,0.0
126_Arg-Ile_laccase_9570474_mmff94_E=1998.67,-1.5,24.851,24.851
126_Arg-Ile_laccase_9570474_mmff94_E=1998.67,-1.4,27.679,27.679
126_Arg-Ile_laccase_9570474_mmff94_E=1998.67,-1.4,26.022,26.022
126_Arg-Ile_laccase_9570474_mmff94_E=1998.67,-1.4,32.657,32.657
126_Arg-Ile_laccase_9570474_mmff94_E=1998.67,-1.3,32.73,32.73
126_Arg-Ile_laccase_9570474_mmff94_E=1998.67,-1.3,15.25,15.25
126_Arg-Ile_laccase_9570474_mmff94_E=1998.67,-1.3,21.776,21.776
126_Arg-Ile_laccase_9570474_mmff94_E=1998.67,-1.3,26.288,26.288
