Ligand,Binding Affinity,rmsd/ub, rmsd/lb
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
181_asp-gln_laccase_14421_uff_E=504.28,-8.3,0,0
181_asp-gln_laccase_14421_uff_E=504.28,-8.1,41.694,38.044
181_asp-gln_laccase_14421_uff_E=504.28,-7.8,41.591,38.491
181_asp-gln_laccase_14421_uff_E=504.28,-7.8,21.101,19.545
181_asp-gln_laccase_14421_uff_E=504.28,-7.6,5.967,1.438
181_asp-gln_laccase_14421_uff_E=504.28,-7.3,21.705,18.976
181_asp-gln_laccase_14421_uff_E=504.28,-7.3,21.39,19.603
181_asp-gln_laccase_14421_uff_E=504.28,-7,32.225,29.136
181_asp-gln_laccase_14421_uff_E=504.28,-6.8,42.893,41.87
181_asp-gln_laccase_186907_uff_E=919.33,-8.2,0,0
181_asp-gln_laccase_186907_uff_E=919.33,-7.8,5.717,1.464
181_asp-gln_laccase_186907_uff_E=919.33,-7.7,50.362,47.929
181_asp-gln_laccase_186907_uff_E=919.33,-7.6,51.595,49.321
181_asp-gln_laccase_186907_uff_E=919.33,-7.5,20.871,19.683
181_asp-gln_laccase_186907_uff_E=919.33,-7.2,21.883,19.478
181_asp-gln_laccase_186907_uff_E=919.33,-7.2,22.747,19.473
181_asp-gln_laccase_186907_uff_E=919.33,-7.1,21.433,20.017
181_asp-gln_laccase_186907_uff_E=919.33,-7,22.173,19.761
181_asp-gln_laccase_4867_uff_E=569.17,-4.8,0,0
181_asp-gln_laccase_4867_uff_E=569.17,-4.6,16.101,9.253
181_asp-gln_laccase_4867_uff_E=569.17,-4.5,45.268,42.446
181_asp-gln_laccase_4867_uff_E=569.17,-4.4,2.766,2.139
181_asp-gln_laccase_4867_uff_E=569.17,-4.4,3.144,1.747
181_asp-gln_laccase_4867_uff_E=569.17,-4.3,45.156,42.815
181_asp-gln_laccase_4867_uff_E=569.17,-4.3,49.977,45.628
181_asp-gln_laccase_4867_uff_E=569.17,-4.2,45.63,43.233
181_asp-gln_laccase_4867_uff_E=569.17,-4.2,11.555,2.151
181_asp-gln_laccase_9570474_uff_E=1625.56,-1.4,0,0
181_asp-gln_laccase_9570474_uff_E=1625.56,-1.4,7.461,7.461
181_asp-gln_laccase_9570474_uff_E=1625.56,-1.3,24.924,24.924
181_asp-gln_laccase_9570474_uff_E=1625.56,-1.3,29.221,29.221
181_asp-gln_laccase_9570474_uff_E=1625.56,-1.3,23.937,23.937
181_asp-gln_laccase_9570474_uff_E=1625.56,-1.2,17.706,17.706
181_asp-gln_laccase_9570474_uff_E=1625.56,-1.2,25.733,25.733
181_asp-gln_laccase_9570474_uff_E=1625.56,-1.2,31.309,31.309
181_asp-gln_laccase_9570474_uff_E=1625.56,-1.2,13.924,13.924
