Ligand,Binding Affinity,rmsd/ub, rmsd/lb
181_Asp-Trp_laccase_14421_mmff94_E=901.64,-7.9,0.0,0.0
181_Asp-Trp_laccase_14421_mmff94_E=901.64,-7.6,21.062,19.708
181_Asp-Trp_laccase_14421_mmff94_E=901.64,-7.4,37.434,34.201
181_Asp-Trp_laccase_14421_mmff94_E=901.64,-7.3,21.991,19.459
181_Asp-Trp_laccase_14421_mmff94_E=901.64,-7.3,22.819,19.564
181_Asp-Trp_laccase_14421_mmff94_E=901.64,-7.2,21.275,19.245
181_Asp-Trp_laccase_14421_mmff94_E=901.64,-7.2,6.619,1.516
181_Asp-Trp_laccase_14421_mmff94_E=901.64,-7.2,33.235,30.6
181_Asp-Trp_laccase_14421_mmff94_E=901.64,-7.1,33.226,30.683
181_Asp-Trp_laccase_186907_mmff94_E=884.48,-7.9,0.0,0.0
181_Asp-Trp_laccase_186907_mmff94_E=884.48,-7.8,3.678,1.426
181_Asp-Trp_laccase_186907_mmff94_E=884.48,-7.6,20.924,19.738
181_Asp-Trp_laccase_186907_mmff94_E=884.48,-7.4,51.694,49.12
181_Asp-Trp_laccase_186907_mmff94_E=884.48,-7.3,51.31,49.683
181_Asp-Trp_laccase_186907_mmff94_E=884.48,-7.3,5.769,1.474
181_Asp-Trp_laccase_186907_mmff94_E=884.48,-7.2,6.468,1.374
181_Asp-Trp_laccase_186907_mmff94_E=884.48,-7.2,22.533,19.35
181_Asp-Trp_laccase_186907_mmff94_E=884.48,-7.0,21.916,19.629
181_Asp-Trp_laccase_4867_mmff94_E=234.68,-4.3,0.0,0.0
181_Asp-Trp_laccase_4867_mmff94_E=234.68,-4.3,3.795,1.682
181_Asp-Trp_laccase_4867_mmff94_E=234.68,-4.2,44.908,42.558
181_Asp-Trp_laccase_4867_mmff94_E=234.68,-4.1,44.424,41.704
181_Asp-Trp_laccase_4867_mmff94_E=234.68,-4.1,2.92,1.544
181_Asp-Trp_laccase_4867_mmff94_E=234.68,-4.1,45.359,43.402
181_Asp-Trp_laccase_4867_mmff94_E=234.68,-4.1,2.852,1.811
181_Asp-Trp_laccase_4867_mmff94_E=234.68,-4.0,44.265,41.946
181_Asp-Trp_laccase_4867_mmff94_E=234.68,-4.0,48.692,44.533
181_Asp-Trp_laccase_9570474_mmff94_E=1998.67,-1.6,0.0,0.0
181_Asp-Trp_laccase_9570474_mmff94_E=1998.67,-1.4,27.682,27.682
181_Asp-Trp_laccase_9570474_mmff94_E=1998.67,-1.4,32.66,32.66
181_Asp-Trp_laccase_9570474_mmff94_E=1998.67,-1.3,26.059,26.059
181_Asp-Trp_laccase_9570474_mmff94_E=1998.67,-1.3,32.733,32.733
181_Asp-Trp_laccase_9570474_mmff94_E=1998.67,-1.3,15.25,15.25
181_Asp-Trp_laccase_9570474_mmff94_E=1998.67,-1.3,21.777,21.777
181_Asp-Trp_laccase_9570474_mmff94_E=1998.67,-1.2,19.073,19.073
181_Asp-Trp_laccase_9570474_mmff94_E=1998.67,-1.2,18.463,18.463
181_asp-gln_laccase_14421_mmff94_E=901.64,-7.9,0.0,0.0
181_asp-gln_laccase_14421_mmff94_E=901.64,-7.8,5.968,1.391
181_asp-gln_laccase_14421_mmff94_E=901.64,-7.6,21.055,19.742
181_asp-gln_laccase_14421_mmff94_E=901.64,-7.4,51.749,49.241
181_asp-gln_laccase_14421_mmff94_E=901.64,-7.3,22.824,19.575
181_asp-gln_laccase_14421_mmff94_E=901.64,-7.2,21.269,19.225
181_asp-gln_laccase_14421_mmff94_E=901.64,-7.2,33.276,30.636
181_asp-gln_laccase_14421_mmff94_E=901.64,-6.9,32.678,30.095
181_asp-gln_laccase_14421_mmff94_E=901.64,-6.9,43.58,39.603
181_asp-gln_laccase_186907_mmff94_E=884.48,-8.6,0.0,0.0
181_asp-gln_laccase_186907_mmff94_E=884.48,-7.9,37.87,35.36
181_asp-gln_laccase_186907_mmff94_E=884.48,-7.6,32.05,30.668
181_asp-gln_laccase_186907_mmff94_E=884.48,-7.6,19.378,17.0
181_asp-gln_laccase_186907_mmff94_E=884.48,-7.5,22.508,19.765
181_asp-gln_laccase_186907_mmff94_E=884.48,-7.5,21.769,19.93
181_asp-gln_laccase_186907_mmff94_E=884.48,-7.2,32.0,31.183
181_asp-gln_laccase_186907_mmff94_E=884.48,-7.1,32.025,30.17
181_asp-gln_laccase_186907_mmff94_E=884.48,-7.0,19.813,17.104
181_asp-gln_laccase_4867_mmff94_E=234.68,-4.7,0.0,0.0
181_asp-gln_laccase_4867_mmff94_E=234.68,-4.5,12.112,1.727
181_asp-gln_laccase_4867_mmff94_E=234.68,-4.4,46.417,44.141
181_asp-gln_laccase_4867_mmff94_E=234.68,-4.3,2.631,1.605
181_asp-gln_laccase_4867_mmff94_E=234.68,-4.3,4.049,2.214
181_asp-gln_laccase_4867_mmff94_E=234.68,-4.2,46.179,43.794
181_asp-gln_laccase_4867_mmff94_E=234.68,-4.1,3.928,2.813
181_asp-gln_laccase_4867_mmff94_E=234.68,-4.1,3.338,1.905
181_asp-gln_laccase_4867_mmff94_E=234.68,-4.0,46.016,43.276
181_asp-gln_laccase_9570474_mmff94_E=1998.67,-1.6,0.0,0.0
181_asp-gln_laccase_9570474_mmff94_E=1998.67,-1.4,27.679,27.679
181_asp-gln_laccase_9570474_mmff94_E=1998.67,-1.4,26.009,26.009
181_asp-gln_laccase_9570474_mmff94_E=1998.67,-1.3,32.621,32.621
181_asp-gln_laccase_9570474_mmff94_E=1998.67,-1.3,32.731,32.731
181_asp-gln_laccase_9570474_mmff94_E=1998.67,-1.3,21.776,21.776
181_asp-gln_laccase_9570474_mmff94_E=1998.67,-1.3,26.085,26.085
181_asp-gln_laccase_9570474_mmff94_E=1998.67,-1.2,33.12,33.12
181_asp-gln_laccase_9570474_mmff94_E=1998.67,-1.2,16.812,16.812
