Ligand,Binding Affinity,rmsd/ub, rmsd/lb
181_Asp-Trp_laccase_14421_uff_E=504.28,-8.5,0,0
181_Asp-Trp_laccase_14421_uff_E=504.28,-8.3,49.816,47.833
181_Asp-Trp_laccase_14421_uff_E=504.28,-7.7,35.006,32.732
181_Asp-Trp_laccase_14421_uff_E=504.28,-7.5,2.488,1.749
181_Asp-Trp_laccase_14421_uff_E=504.28,-7,11.067,9.478
181_Asp-Trp_laccase_14421_uff_E=504.28,-7,4.767,2.886
181_Asp-Trp_laccase_14421_uff_E=504.28,-6.9,50.179,48.141
181_Asp-Trp_laccase_14421_uff_E=504.28,-6.8,41.161,40.125
181_Asp-Trp_laccase_14421_uff_E=504.28,-6.7,35.385,31.949
181_Asp-Trp_laccase_186907_uff_E=919.33,-9.1,0,0
181_Asp-Trp_laccase_186907_uff_E=919.33,-8.3,40.446,36.585
181_Asp-Trp_laccase_186907_uff_E=919.33,-7.6,41.166,37.379
181_Asp-Trp_laccase_186907_uff_E=919.33,-7.3,41.751,39.087
181_Asp-Trp_laccase_186907_uff_E=919.33,-7.3,41.477,39.831
181_Asp-Trp_laccase_186907_uff_E=919.33,-7.2,40.813,36.41
181_Asp-Trp_laccase_186907_uff_E=919.33,-7,42.341,39.666
181_Asp-Trp_laccase_186907_uff_E=919.33,-7,41.454,37.597
181_Asp-Trp_laccase_186907_uff_E=919.33,-6.8,42.397,38.274
181_Asp-Trp_laccase_4867_uff_E=569.17,-4.6,0,0
181_Asp-Trp_laccase_4867_uff_E=569.17,-4.3,10.493,1.75
181_Asp-Trp_laccase_4867_uff_E=569.17,-4.1,10.463,2.266
181_Asp-Trp_laccase_4867_uff_E=569.17,-4.1,11.141,1.884
181_Asp-Trp_laccase_4867_uff_E=569.17,-4.1,11.448,1.897
181_Asp-Trp_laccase_4867_uff_E=569.17,-4,8.006,5.177
181_Asp-Trp_laccase_4867_uff_E=569.17,-4,13.863,9.395
181_Asp-Trp_laccase_4867_uff_E=569.17,-4,49.718,46.246
181_Asp-Trp_laccase_4867_uff_E=569.17,-4,11.572,5.375
181_Asp-Trp_laccase_9570474_uff_E=1625.56,-1.5,0,0
181_Asp-Trp_laccase_9570474_uff_E=1625.56,-1.4,15.396,15.396
181_Asp-Trp_laccase_9570474_uff_E=1625.56,-1.4,8.484,8.484
181_Asp-Trp_laccase_9570474_uff_E=1625.56,-1.4,16.305,16.305
181_Asp-Trp_laccase_9570474_uff_E=1625.56,-1.3,10.079,10.079
181_Asp-Trp_laccase_9570474_uff_E=1625.56,-1.3,14.92,14.92
181_Asp-Trp_laccase_9570474_uff_E=1625.56,-1.3,29.547,29.547
181_Asp-Trp_laccase_9570474_uff_E=1625.56,-1.3,31.199,31.199
181_Asp-Trp_laccase_9570474_uff_E=1625.56,-1.2,10.296,10.296
