Ligand,Binding Affinity,rmsd/ub, rmsd/lb
354_arg-lys_laccase_14421_uff_E=504.28,-7.7,0.0,0.0
354_arg-lys_laccase_14421_uff_E=504.28,-7.7,21.177,19.567
354_arg-lys_laccase_14421_uff_E=504.28,-7.6,44.214,41.694
354_arg-lys_laccase_14421_uff_E=504.28,-7.3,2.172,1.597
354_arg-lys_laccase_14421_uff_E=504.28,-7.2,3.735,1.48
354_arg-lys_laccase_14421_uff_E=504.28,-7.2,29.878,27.327
354_arg-lys_laccase_14421_uff_E=504.28,-7.1,36.967,34.684
354_arg-lys_laccase_14421_uff_E=504.28,-7.0,27.814,24.695
354_arg-lys_laccase_14421_uff_E=504.28,-7.0,38.094,35.745
354_arg-lys_laccase_186907_uff_E=919.33,-8.0,0.0,0.0
354_arg-lys_laccase_186907_uff_E=919.33,-7.7,41.219,37.431
354_arg-lys_laccase_186907_uff_E=919.33,-7.5,43.034,40.088
354_arg-lys_laccase_186907_uff_E=919.33,-7.4,35.762,34.431
354_arg-lys_laccase_186907_uff_E=919.33,-7.4,4.645,1.865
354_arg-lys_laccase_186907_uff_E=919.33,-7.2,41.409,36.756
354_arg-lys_laccase_186907_uff_E=919.33,-7.2,42.88,41.355
354_arg-lys_laccase_186907_uff_E=919.33,-7.1,6.088,1.833
354_arg-lys_laccase_186907_uff_E=919.33,-6.9,4.665,1.977
