Ligand,Binding Affinity,rmsd/ub, rmsd/lb
354_arg-trp_laccase_14421_uff_E=504.28,-7.7,0.0,0.0
354_arg-trp_laccase_14421_uff_E=504.28,-7.7,21.143,19.588
354_arg-trp_laccase_14421_uff_E=504.28,-7.2,21.11,19.721
354_arg-trp_laccase_14421_uff_E=504.28,-6.8,38.85,36.567
354_arg-trp_laccase_14421_uff_E=504.28,-6.8,6.246,2.438
354_arg-trp_laccase_14421_uff_E=504.28,-6.8,26.538,24.544
354_arg-trp_laccase_14421_uff_E=504.28,-6.7,43.45,42.084
354_arg-trp_laccase_14421_uff_E=504.28,-6.6,13.468,12.491
354_arg-trp_laccase_14421_uff_E=504.28,-6.6,6.71,1.706
354_arg-trp_laccase_186907_uff_E=919.33,-8.0,0.0,0.0
354_arg-trp_laccase_186907_uff_E=919.33,-7.7,35.519,34.39
354_arg-trp_laccase_186907_uff_E=919.33,-7.7,41.214,37.423
354_arg-trp_laccase_186907_uff_E=919.33,-7.6,35.665,34.336
354_arg-trp_laccase_186907_uff_E=919.33,-7.4,4.654,1.849
354_arg-trp_laccase_186907_uff_E=919.33,-7.2,43.372,40.68
354_arg-trp_laccase_186907_uff_E=919.33,-7.2,35.604,34.134
354_arg-trp_laccase_186907_uff_E=919.33,-7.2,42.881,41.352
354_arg-trp_laccase_186907_uff_E=919.33,-7.1,41.39,36.689
