Ligand,Binding Affinity,rmsd/ub, rmsd/lb
42_glu-met_laccase_14421_uff_E=504.28,-8.3,0.0,0.0
42_glu-met_laccase_14421_uff_E=504.28,-7.8,21.103,19.533
42_glu-met_laccase_14421_uff_E=504.28,-7.7,6.032,1.452
42_glu-met_laccase_14421_uff_E=504.28,-7.3,21.675,18.965
42_glu-met_laccase_14421_uff_E=504.28,-7.2,33.339,30.584
42_glu-met_laccase_14421_uff_E=504.28,-7.2,21.248,19.581
42_glu-met_laccase_14421_uff_E=504.28,-7.1,21.517,18.996
42_glu-met_laccase_14421_uff_E=504.28,-7.0,51.638,49.722
42_glu-met_laccase_14421_uff_E=504.28,-6.8,41.086,38.764
42_glu-met_laccase_186907_uff_E=919.33,-8.2,0.0,0.0
42_glu-met_laccase_186907_uff_E=919.33,-7.9,41.208,37.402
42_glu-met_laccase_186907_uff_E=919.33,-7.8,5.722,1.48
42_glu-met_laccase_186907_uff_E=919.33,-7.6,20.892,19.684
42_glu-met_laccase_186907_uff_E=919.33,-7.3,3.726,1.328
42_glu-met_laccase_186907_uff_E=919.33,-7.2,21.898,19.501
42_glu-met_laccase_186907_uff_E=919.33,-7.1,22.775,19.488
42_glu-met_laccase_186907_uff_E=919.33,-7.0,21.483,20.092
42_glu-met_laccase_186907_uff_E=919.33,-7.0,6.431,1.466
