Ligand,Binding Affinity,rmsd/ub, rmsd/lb
42_glu-tyr_laccase_14421_uff_E=504.28,-8.3,0.0,0.0
42_glu-tyr_laccase_14421_uff_E=504.28,-7.7,21.149,19.546
42_glu-tyr_laccase_14421_uff_E=504.28,-7.4,5.973,1.476
42_glu-tyr_laccase_14421_uff_E=504.28,-7.0,21.531,19.606
42_glu-tyr_laccase_14421_uff_E=504.28,-7.0,51.676,49.766
42_glu-tyr_laccase_14421_uff_E=504.28,-6.9,41.08,38.678
42_glu-tyr_laccase_14421_uff_E=504.28,-6.8,17.809,14.506
42_glu-tyr_laccase_14421_uff_E=504.28,-6.8,32.381,30.437
42_glu-tyr_laccase_14421_uff_E=504.28,-6.6,32.205,29.971
42_glu-tyr_laccase_186907_uff_E=919.33,-8.2,0.0,0.0
42_glu-tyr_laccase_186907_uff_E=919.33,-7.8,41.219,37.41
42_glu-tyr_laccase_186907_uff_E=919.33,-7.6,20.819,19.628
42_glu-tyr_laccase_186907_uff_E=919.33,-7.4,33.626,31.108
42_glu-tyr_laccase_186907_uff_E=919.33,-7.2,21.876,19.469
42_glu-tyr_laccase_186907_uff_E=919.33,-7.2,22.649,19.358
42_glu-tyr_laccase_186907_uff_E=919.33,-7.1,51.458,49.179
42_glu-tyr_laccase_186907_uff_E=919.33,-7.0,51.159,48.979
42_glu-tyr_laccase_186907_uff_E=919.33,-6.9,6.415,1.543
