Ligand,Binding Affinity,rmsd/ub, rmsd/lb
554_lys-met_laccase_14421_uff_E=504.28,-8.3,0.0,0.0
554_lys-met_laccase_14421_uff_E=504.28,-7.7,21.181,19.564
554_lys-met_laccase_14421_uff_E=504.28,-7.7,41.744,37.98
554_lys-met_laccase_14421_uff_E=504.28,-7.6,5.979,1.439
554_lys-met_laccase_14421_uff_E=504.28,-7.3,50.617,48.645
554_lys-met_laccase_14421_uff_E=504.28,-7.2,21.233,19.499
554_lys-met_laccase_14421_uff_E=504.28,-7.1,5.791,1.862
554_lys-met_laccase_14421_uff_E=504.28,-7.0,41.895,40.135
554_lys-met_laccase_14421_uff_E=504.28,-7.0,51.777,49.872
554_lys-met_laccase_186907_uff_E=919.33,-8.2,0.0,0.0
554_lys-met_laccase_186907_uff_E=919.33,-7.9,41.153,37.345
554_lys-met_laccase_186907_uff_E=919.33,-7.7,5.73,1.515
554_lys-met_laccase_186907_uff_E=919.33,-7.6,20.849,19.663
554_lys-met_laccase_186907_uff_E=919.33,-7.4,33.685,31.169
554_lys-met_laccase_186907_uff_E=919.33,-7.4,40.765,36.928
554_lys-met_laccase_186907_uff_E=919.33,-7.3,3.715,1.327
554_lys-met_laccase_186907_uff_E=919.33,-7.0,22.173,19.817
554_lys-met_laccase_186907_uff_E=919.33,-7.0,6.488,1.51
