Ligand,Binding Affinity,rmsd/ub, rmsd/lb
555_ser-phe_laccase_14421_uff_E=504.28,-8.3,0.0,0.0
555_ser-phe_laccase_14421_uff_E=504.28,-7.8,21.094,19.528
555_ser-phe_laccase_14421_uff_E=504.28,-7.4,21.529,18.883
555_ser-phe_laccase_14421_uff_E=504.28,-7.1,6.547,1.642
555_ser-phe_laccase_14421_uff_E=504.28,-7.0,41.887,40.14
555_ser-phe_laccase_14421_uff_E=504.28,-7.0,51.729,49.809
555_ser-phe_laccase_14421_uff_E=504.28,-6.9,51.372,49.401
555_ser-phe_laccase_14421_uff_E=504.28,-6.9,32.693,28.227
555_ser-phe_laccase_14421_uff_E=504.28,-6.9,51.69,49.98
555_ser-phe_laccase_186907_uff_E=919.33,-8.2,0.0,0.0
555_ser-phe_laccase_186907_uff_E=919.33,-7.8,5.718,1.466
555_ser-phe_laccase_186907_uff_E=919.33,-7.6,20.871,19.685
555_ser-phe_laccase_186907_uff_E=919.33,-7.4,3.704,1.335
555_ser-phe_laccase_186907_uff_E=919.33,-7.1,22.76,19.471
555_ser-phe_laccase_186907_uff_E=919.33,-7.0,21.478,20.072
555_ser-phe_laccase_186907_uff_E=919.33,-7.0,6.433,1.492
555_ser-phe_laccase_186907_uff_E=919.33,-6.9,22.123,19.541
555_ser-phe_laccase_186907_uff_E=919.33,-6.9,33.166,29.723
