Ligand,Binding Affinity,rmsd/ub, rmsd/lb
All_best_results_mutations_combined_14421_uff_E=504.28,-8.5,0.0,0.0
All_best_results_mutations_combined_14421_uff_E=504.28,-8.3,49.766,47.773
All_best_results_mutations_combined_14421_uff_E=504.28,-7.7,34.948,32.677
All_best_results_mutations_combined_14421_uff_E=504.28,-7.4,34.273,31.854
All_best_results_mutations_combined_14421_uff_E=504.28,-7.0,6.571,2.568
All_best_results_mutations_combined_14421_uff_E=504.28,-7.0,11.114,9.506
All_best_results_mutations_combined_14421_uff_E=504.28,-7.0,41.466,40.144
All_best_results_mutations_combined_14421_uff_E=504.28,-6.8,49.628,47.064
All_best_results_mutations_combined_14421_uff_E=504.28,-6.8,41.231,40.184
All_best_results_mutations_combined_186907_uff_E=919.33,-8.1,0.0,0.0
All_best_results_mutations_combined_186907_uff_E=919.33,-7.7,5.715,1.477
All_best_results_mutations_combined_186907_uff_E=919.33,-7.7,51.055,48.888
All_best_results_mutations_combined_186907_uff_E=919.33,-7.6,20.861,19.663
All_best_results_mutations_combined_186907_uff_E=919.33,-7.2,21.893,19.471
All_best_results_mutations_combined_186907_uff_E=919.33,-7.1,22.698,19.386
All_best_results_mutations_combined_186907_uff_E=919.33,-7.1,21.726,19.447
All_best_results_mutations_combined_186907_uff_E=919.33,-7.0,6.415,1.467
All_best_results_mutations_combined_186907_uff_E=919.33,-7.0,22.175,19.811
