Ligand,Binding Affinity,rmsd/ub, rmsd/lb
asp_505mutatiolacc_14421_uff_E=504.28,-8.3,0.0,0.0
asp_505mutatiolacc_14421_uff_E=504.28,-7.7,21.092,19.502
asp_505mutatiolacc_14421_uff_E=504.28,-7.2,21.188,19.501
asp_505mutatiolacc_14421_uff_E=504.28,-7.0,41.605,39.232
asp_505mutatiolacc_14421_uff_E=504.28,-7.0,41.866,40.116
asp_505mutatiolacc_14421_uff_E=504.28,-6.8,42.055,39.324
asp_505mutatiolacc_14421_uff_E=504.28,-6.8,17.835,14.542
asp_505mutatiolacc_14421_uff_E=504.28,-6.8,22.144,19.72
asp_505mutatiolacc_14421_uff_E=504.28,-6.7,47.775,45.524
asp_505mutatiolacc_186907_uff_E=919.33,-8.2,0.0,0.0
asp_505mutatiolacc_186907_uff_E=919.33,-7.9,41.106,37.287
asp_505mutatiolacc_186907_uff_E=919.33,-7.6,20.909,19.708
asp_505mutatiolacc_186907_uff_E=919.33,-7.3,41.027,37.168
asp_505mutatiolacc_186907_uff_E=919.33,-7.2,21.965,19.55
asp_505mutatiolacc_186907_uff_E=919.33,-7.1,22.806,19.536
asp_505mutatiolacc_186907_uff_E=919.33,-7.0,22.221,19.825
asp_505mutatiolacc_186907_uff_E=919.33,-7.0,42.569,39.879
asp_505mutatiolacc_186907_uff_E=919.33,-6.8,33.054,29.609
