Ligand,Binding Affinity,rmsd/ub, rmsd/lb
135_ser-cys_laccase_14421_uff_E=504.28,-8.3,0.0,0.0
135_ser-cys_laccase_14421_uff_E=504.28,-7.8,21.11,19.51
135_ser-cys_laccase_14421_uff_E=504.28,-7.6,5.978,1.435
135_ser-cys_laccase_14421_uff_E=504.28,-7.1,5.793,1.808
135_ser-cys_laccase_14421_uff_E=504.28,-7.0,32.255,29.147
135_ser-cys_laccase_14421_uff_E=504.28,-6.7,2.396,1.896
135_ser-cys_laccase_14421_uff_E=504.28,-6.7,32.192,29.965
135_ser-cys_laccase_14421_uff_E=504.28,-6.7,51.591,49.867
135_ser-cys_laccase_14421_uff_E=504.28,-6.7,20.921,19.115
135_ser-cys_laccase_186907_uff_E=919.33,-8.1,0.0,0.0
135_ser-cys_laccase_186907_uff_E=919.33,-7.8,5.717,1.461
135_ser-cys_laccase_186907_uff_E=919.33,-7.8,49.889,47.484
135_ser-cys_laccase_186907_uff_E=919.33,-7.6,20.959,19.828
135_ser-cys_laccase_186907_uff_E=919.33,-7.4,33.726,31.212
135_ser-cys_laccase_186907_uff_E=919.33,-7.4,3.706,1.33
135_ser-cys_laccase_186907_uff_E=919.33,-7.3,41.092,37.244
135_ser-cys_laccase_186907_uff_E=919.33,-7.1,22.778,19.545
135_ser-cys_laccase_186907_uff_E=919.33,-7.1,41.687,38.661
135_ser-cys_laccase_4867_uff_E=569.17,-4.4,0.0,0.0
135_ser-cys_laccase_4867_uff_E=569.17,-4.4,3.188,2.45
135_ser-cys_laccase_4867_uff_E=569.17,-4.3,3.557,2.442
135_ser-cys_laccase_4867_uff_E=569.17,-4.3,44.871,42.78
135_ser-cys_laccase_4867_uff_E=569.17,-4.3,2.652,2.091
135_ser-cys_laccase_4867_uff_E=569.17,-4.2,45.073,42.483
135_ser-cys_laccase_4867_uff_E=569.17,-4.2,45.122,42.727
135_ser-cys_laccase_4867_uff_E=569.17,-4.2,2.207,1.651
135_ser-cys_laccase_4867_uff_E=569.17,-4.2,47.109,43.497
135_ser-cys_laccase_9570474_uff_E=1625.56,-1.4,0.0,0.0
135_ser-cys_laccase_9570474_uff_E=1625.56,-1.4,7.461,7.461
135_ser-cys_laccase_9570474_uff_E=1625.56,-1.3,24.924,24.924
135_ser-cys_laccase_9570474_uff_E=1625.56,-1.3,29.221,29.221
135_ser-cys_laccase_9570474_uff_E=1625.56,-1.3,22.307,22.307
135_ser-cys_laccase_9570474_uff_E=1625.56,-1.3,10.936,10.936
135_ser-cys_laccase_9570474_uff_E=1625.56,-1.2,11.622,11.622
135_ser-cys_laccase_9570474_uff_E=1625.56,-1.2,25.746,25.746
135_ser-cys_laccase_9570474_uff_E=1625.56,-1.2,13.924,13.924
477_asp-lys_laccase_14421_uff_E=504.28,-8.3,0.0,0.0
477_asp-lys_laccase_14421_uff_E=504.28,-7.8,21.089,19.524
477_asp-lys_laccase_14421_uff_E=504.28,-7.5,41.595,38.371
477_asp-lys_laccase_14421_uff_E=504.28,-7.3,21.479,18.792
477_asp-lys_laccase_14421_uff_E=504.28,-7.3,21.274,19.57
477_asp-lys_laccase_14421_uff_E=504.28,-7.2,33.345,30.617
477_asp-lys_laccase_14421_uff_E=504.28,-7.0,32.209,29.116
477_asp-lys_laccase_14421_uff_E=504.28,-6.8,32.754,28.322
477_asp-lys_laccase_14421_uff_E=504.28,-6.7,28.848,26.997
477_asp-lys_laccase_186907_uff_E=919.33,-8.1,0.0,0.0
477_asp-lys_laccase_186907_uff_E=919.33,-8.0,41.206,37.407
477_asp-lys_laccase_186907_uff_E=919.33,-7.5,5.757,1.619
477_asp-lys_laccase_186907_uff_E=919.33,-7.4,3.689,1.334
477_asp-lys_laccase_186907_uff_E=919.33,-7.2,21.904,19.501
477_asp-lys_laccase_186907_uff_E=919.33,-7.1,22.758,19.457
477_asp-lys_laccase_186907_uff_E=919.33,-7.0,21.819,19.478
477_asp-lys_laccase_186907_uff_E=919.33,-7.0,22.162,19.816
477_asp-lys_laccase_186907_uff_E=919.33,-6.9,6.427,1.437
477_asp-lys_laccase_4867_uff_E=569.17,-4.0,0.0,0.0
477_asp-lys_laccase_4867_uff_E=569.17,-3.9,44.494,41.573
477_asp-lys_laccase_4867_uff_E=569.17,-3.9,43.881,40.917
477_asp-lys_laccase_4867_uff_E=569.17,-3.9,31.706,29.026
477_asp-lys_laccase_4867_uff_E=569.17,-3.9,43.874,41.626
477_asp-lys_laccase_4867_uff_E=569.17,-3.8,43.618,40.68
477_asp-lys_laccase_4867_uff_E=569.17,-3.8,44.613,41.647
477_asp-lys_laccase_4867_uff_E=569.17,-3.7,45.179,42.829
